START-OF-LOG: 3.0
CALLSIGN: IZ5JLF
CONTEST: CQ-WPX-SSB
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: QRP
CATEGORY-MODE: SSB
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 215626
NAME: bramanti claudio
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: QARTest 5.1.1
SOAPBOX: MP-1 and KX3....heavy job...i am without voice 73 claudio IZ5JLF
QSO: 21000 PH 2016-03-27 1455 IZ5JLF        59     273 W3FV          59     709
QSO: 21000 PH 2016-03-27 1458 IZ5JLF        59     274 NQ2F          59    1277
QSO: 21000 PH 2016-03-27 1500 IZ5JLF        59     275 YW4D          59    3332
QSO: 21000 PH 2016-03-27 1503 IZ5JLF        59     276 P40AH         59    1100
QSO: 21000 PH 2016-03-27 1505 IZ5JLF        59     277 K3MD          59    1261
QSO: 21000 PH 2016-03-27 1507 IZ5JLF        59     278 N8BJQ         59     858
QSO: 28000 PH 2016-03-27 1512 IZ5JLF        59     279 CX2DK         59    1122
QSO: 28000 PH 2016-03-27 1514 IZ5JLF        59     280 CE6SAX        59     368
QSO: 28000 PH 2016-03-27 1517 IZ5JLF        59     281 LU6DU         59     170
QSO: 28000 PH 2016-03-27 1519 IZ5JLF        59     282 CV7S          59     887
QSO: 28000 PH 2016-03-27 1523 IZ5JLF        59     283 LU8EOT        59     592
QSO: 28000 PH 2016-03-27 1524 IZ5JLF        59     284 LU2FGL        59     351
QSO: 28000 PH 2016-03-27 1528 IZ5JLF        59     285 PS2T          59     798
