START-OF-LOG: 3.0
CREATED-BY: reconstructed-log-builder
CONTEST: RDA
CALLSIGN: UA3RBR
LOCATION: 
CATEGORY: CHECKLOG
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-BAND: ALL
CATEGORY-MODE: MIXED
CATEGORY-POWER: UNKNOWN
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-TRANSMITTER: ONE
CATEGORY-STATION: UNKNOWN
CATEGORY-OVERLAY: 
OPERATORS: UA3RBR
CLAIMED-SCORE: 
CLUB: 
NAME: 
SOAPBOX: RECONSTRUCTED MOCKUP LOG - NOT AN OFFICIAL SUBMISSION.
SOAPBOX: Derived from submitted logs for RDA RDAContest/2020.
QSO:  7012 CW 2020-08-15 1818 UA3RBR        599 TB02 UV2V          599 0053
QSO:  7012 CW 2020-08-15 1819 UA3RBR        599 TB02 DL4ME         599 0280
QSO:  7012 CW 2020-08-15 1820 UA3RBR        599 TB02 ON6NL         599 0274
QSO:  7012 CW 2020-08-15 1820 UA3RBR        599 TB02 UP4L          599 0719
QSO:  7000 CW 2020-08-15 1822 UA3RBR        599 TB02 ON3ND         599 0103
QSO:  7012 CW 2020-08-15 1822 UA3RBR        599 TB02 YO4NF         599 0293
QSO:  7012 CW 2020-08-15 1824 UA3RBR        599 TB02 SN7O          599 0636
QSO:  7012 CW 2020-08-15 1825 UA3RBR        599 TB02 F5MYK         599 0167
QSO:  7000 CW 2020-08-15 1826 UA3RBR        599 TB02 EU6RO         599 0243
QSO:  7012 CW 2020-08-15 1827 UA3RBR        599 TB02 HA2EOA        599 0106
QSO:  7000 CW 2020-08-15 1829 UA3RBR        599 TB02 OM3CPF        599 0123
QSO:  7000 CW 2020-08-15 1830 UA3RBR        599 TB02 EU6DX         599 0160
QSO:  7000 CW 2020-08-15 1831 UA3RBR        599 TB02 EV6Z          599 0344
QSO:  7012 CW 2020-08-15 1831 UA3RBR        599 TB02 SP7AH         599 0198
QSO:  7012 CW 2020-08-15 1832 UA3RBR        599 TB02 SM5LW         599 0066
QSO:  7012 CW 2020-08-15 1832 UA3RBR        599 TB02 UN9L          599 0400
QSO:  7012 CW 2020-08-15 1833 UA3RBR        599 TB02 YL2QN         599 0354
QSO:  7012 CW 2020-08-15 1834 UA3RBR        599 TB02 EU8U          599 0587
QSO:  7012 CW 2020-08-15 1835 UA3RBR        599 TB02 LZ8E          599 0396
QSO:  7012 CW 2020-08-15 1835 UA3RBR        599 TB02 YU7KW         599 0209
QSO:  7000 CW 2020-08-15 1837 UA3RBR        599 TB02 UT3UZ         599 0296
QSO:  7012 CW 2020-08-15 1837 UA3RBR        599 TB02 OG55W         599 0270
QSO:  7012 CW 2020-08-15 1838 UA3RBR        599 TB02 DF2KK         599 0180
QSO:  7012 CW 2020-08-15 1839 UA3RBR        599 TB02 DJ9DZ         599 0370
QSO:  7012 CW 2020-08-15 1839 UA3RBR        599 TB02 EW8OM         599 0273
QSO:  7012 CW 2020-08-15 1840 UA3RBR        599 TB02 OK1VK         599 0528
QSO:  7012 CW 2020-08-15 1840 UA3RBR        599 TB02 SV1ENG        599 0221
QSO:  7012 CW 2020-08-15 1841 UA3RBR        599 TB02 SP5CNA        599 0475
QSO:  7012 CW 2020-08-15 1842 UA3RBR        599 TB02 F6HDI         599 0196
QSO:  7012 CW 2020-08-15 1842 UA3RBR        599 TB02 IK1JJM        599 0073
