START-OF-LOG: 3.0
CREATED-BY: Win-Test 4.9.1
CONTEST: CQ-WW-SSB
LOCATION: DX
CALLSIGN: LY7A
CATEGORY-OPERATOR: MULTI-OP
CATEGORY-TRANSMITTER: UNLIMITED
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: SSB
CATEGORY-STATION: FIXED
CLAIMED-SCORE: 12113640
OPERATORS: LYR346 LY1DI LY1FK LY1FU LY1SR LY2DX LY2J LY2K LY2KJ LY2LL LY3BB
OPERATORS: LY3DA LY3HD LY3RQ LY3UT LY4G LY4Z LY9A
CLUB: Kaunas University of Technology Radio Club
NAME: KTU RC HQ
SOAPBOX:
QSO:  1800 PH 2014-10-25 0031 LY7A          59  15     HG1S          59  15     1
QSO: 14174 PH 2014-10-25 0031 LY7A          59  15     W7PU          59  3      1
QSO:  7000 PH 2014-10-25 0031 LY7A          59  15     ED7P          59  14     1
QSO:  3500 PH 2014-10-25 0031 LY7A          59  15     YO7CDB        59  20     1
QSO:  3500 PH 2014-10-25 0032 LY7A          59  15     G4R           59  14     1
QSO:  3500 PH 2014-10-25 0032 LY7A          59  15     OK6Y          59  15     1
QSO:  7000 PH 2014-10-25 0032 LY7A          59  15     IQ2MI         59  15     1
QSO:  3500 PH 2014-10-25 0032 LY7A          59  15     SE4E          59  14     1
QSO: 14174 PH 2014-10-25 0032 LY7A          59  15     NA2U          59  5      1
QSO:  1800 PH 2014-10-25 0032 LY7A          59  15     UW5Y          59  16     1
QSO:  7000 PH 2014-10-25 0032 LY7A          59  15     RM5A          59  16     1
QSO:  3500 PH 2014-10-25 0032 LY7A          59  15     OM7AB         59  15     1
QSO:  3500 PH 2014-10-25 0032 LY7A          59  15     II9K          59  15     1
QSO:  1800 PH 2014-10-25 0033 LY7A          59  15     9A9J          59  15     1
QSO:  3500 PH 2014-10-25 0033 LY7A          59  15     EA1PP         59  14     1
QSO: 14174 PH 2014-10-25 0033 LY7A          59  15     NE3F          59  5      1
QSO:  3500 PH 2014-10-25 0033 LY7A          59  15     UA3BL         59  16     1
QSO:  7000 PH 2014-10-25 0033 LY7A          59  15     EA6/GM0EGI    59  14     1
QSO:  1800 PH 2014-10-25 0033 LY7A          59  15     LY5Q          59  15     1
QSO: 14174 PH 2014-10-25 0033 LY7A          59  15     W4KTR         59  5      1
QSO:  3500 PH 2014-10-25 0033 LY7A          59  15     IW2HAJ        59  15     1
QSO:  1800 PH 2014-10-25 0033 LY7A          59  15     DL5AN         59  14     1
QSO: 14174 PH 2014-10-25 0033 LY7A          59  15     W1NA          59  5      1
QSO:  3500 PH 2014-10-25 0034 LY7A          59  15     YO3VU         59  20     1
QSO: 14174 PH 2014-10-25 0034 LY7A          59  15     N2SR          59  5      1
QSO: 14174 PH 2014-10-25 0034 LY7A          59  15     N3RS          59  5      1
QSO: 14174 PH 2014-10-25 0034 LY7A          59  15     VE3MIS        59  4      1
QSO:  3500 PH 2014-10-25 0034 LY7A          59  15     EA1HOE        59  14     1
QSO: 14174 PH 2014-10-25 0034 LY7A          59  15     N4WW          59  5      1
QSO:  1800 PH 2014-10-25 0034 LY7A          59  15     ER1CS         59  16     1
QSO: 14174 PH 2014-10-25 0034 LY7A          59  15     W1GQ          59  5      1
