START-OF-LOG: 3.0
CALLSIGN: UN7PGA
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: OLEG
LOCATION: DX
CLUB:
CERTIFICATE: NO
CREATED-BY: UR5EQF log v.3.31-60
SOAPBOX: FT 950, Delta  20    Inv  40
QSO: 21018 CW 2017-11-26 0634 UN7PGA        599 17     UA7K          599 16
QSO: 21018 CW 2017-11-26 0635 UN7PGA        599 17     UY7MM         599 16
QSO: 21018 CW 2017-11-26 0635 UN7PGA        599 17     BH1RGL        599 24
QSO: 21018 CW 2017-11-26 0636 UN7PGA        599 17     JG1UKW        599 25
QSO: 21018 CW 2017-11-26 0636 UN7PGA        599 17     LY4A          599 15
QSO: 21018 CW 2017-11-26 0637 UN7PGA        599 17     YO9AYN        599 20
QSO: 21018 CW 2017-11-26 0638 UN7PGA        599 17     JR1MEG/1      599 25
QSO: 21018 CW 2017-11-26 0638 UN7PGA        599 17     JR1EMT        599 25
QSO: 21018 CW 2017-11-26 0639 UN7PGA        599 17     UZ3A          599 16
QSO: 21018 CW 2017-11-26 0639 UN7PGA        599 17     JA1RPK        599 25
QSO: 21018 CW 2017-11-26 0640 UN7PGA        599 17     JA2KKA        599 25
QSO: 21018 CW 2017-11-26 0641 UN7PGA        599 17     JG2TSL        599 25
QSO: 21018 CW 2017-11-26 0641 UN7PGA        599 17     JA1ZGO        599 25
QSO: 21018 CW 2017-11-26 0641 UN7PGA        599 17     R4BZ          599 16
QSO: 21018 CW 2017-11-26 0642 UN7PGA        599 17     JR2AWS        599 25
QSO: 21018 CW 2017-11-26 0642 UN7PGA        599 17     R7AM          599 16
QSO: 21018 CW 2017-11-26 0643 UN7PGA        599 17     JE2HXL        599 25
QSO: 21018 CW 2017-11-26 0644 UN7PGA        599 17     UX3IO         599 16
QSO: 21018 CW 2017-11-26 0644 UN7PGA        599 17     YO7FB         599 20
QSO: 21018 CW 2017-11-26 0645 UN7PGA        599 17     R1QE          599 16
QSO: 21018 CW 2017-11-26 0646 UN7PGA        599 17     UT4MWM        599 16
QSO: 21018 CW 2017-11-26 0646 UN7PGA        599 17     D1DX          599 16
QSO: 21018 CW 2017-11-26 0647 UN7PGA        599 17     JJ1LBJ        599 25
QSO: 21018 CW 2017-11-26 0648 UN7PGA        599 17     UX5UO         599 16
QSO: 21018 CW 2017-11-26 0648 UN7PGA        599 17     UA0SR         599 18
QSO: 21018 CW 2017-11-26 0649 UN7PGA        599 17     BD3QA         599 24
QSO: 21018 CW 2017-11-26 0650 UN7PGA        599 17     JL3RNZ        599 25
QSO: 21018 CW 2017-11-26 0651 UN7PGA        599 17     JH1EAQ        599 25
QSO: 21018 CW 2017-11-26 0652 UN7PGA        599 17     UT3IA         599 16
QSO: 21018 CW 2017-11-26 0654 UN7PGA        599 17     JK1LSE        599 25
QSO: 21018 CW 2017-11-26 0655 UN7PGA        599 17     EV1R          599 16
QSO: 21018 CW 2017-11-26 0656 UN7PGA        599 17     RM6Y          599 16
QSO: 21018 CW 2017-11-26 0657 UN7PGA        599 17     OH6QU         599 15
QSO: 21018 CW 2017-11-26 0658 UN7PGA        599 17     JA3JOT        599 25
QSO: 21018 CW 2017-11-26 0659 UN7PGA        599 17     RV3ID         599 16
QSO: 21018 CW 2017-11-26 0700 UN7PGA        599 17     US7IA         599 16
QSO: 21021 CW 2017-11-26 0709 UN7PGA        599 17     9A1A          599 15
QSO: 21026 CW 2017-11-26 0709 UN7PGA        599 17     YT1R          599 15
QSO: 21044 CW 2017-11-26 0711 UN7PGA        599 17     JH3CUL        599 25
QSO: 21016 CW 2017-11-26 0713 UN7PGA        599 17     YL2KO         599 15
QSO: 21017 CW 2017-11-26 0716 UN7PGA        599 17     R6KEE         599 16
QSO: 21017 CW 2017-11-26 0717 UN7PGA        599 17     YO2MNZ        599 20
QSO: 21017 CW 2017-11-26 0718 UN7PGA        599 17     US0VA         599 16
QSO: 21017 CW 2017-11-26 0718 UN7PGA        599 17     OK7Z          599 15
QSO: 21017 CW 2017-11-26 0719 UN7PGA        599 17     YO9HP         599 20
QSO: 21017 CW 2017-11-26 0720 UN7PGA        599 17     RX7M          599 16
QSO: 21032 CW 2017-11-26 0723 UN7PGA        599 17     UN4PG         599 17
QSO: 21047 CW 2017-11-26 0725 UN7PGA        599 17     UX7VA         599 16
QSO: 21047 CW 2017-11-26 0726 UN7PGA        599 17     RW3AO         599 16
QSO: 21047 CW 2017-11-26 0726 UN7PGA        599 17     9A5Y          599 15
QSO: 21047 CW 2017-11-26 0727 UN7PGA        599 17     YR32A         599 20
QSO: 21047 CW 2017-11-26 0727 UN7PGA        599 17     UY5ZZ         599 16
QSO: 21047 CW 2017-11-26 0728 UN7PGA        599 17     R7AX          599 16
QSO: 21047 CW 2017-11-26 0729 UN7PGA        599 17     UX1CL         599 16
QSO: 21047 CW 2017-11-26 0729 UN7PGA        599 17     RK2A          599 16
QSO: 21047 CW 2017-11-26 0730 UN7PGA        599 17     UY0CA         599 16
QSO: 21047 CW 2017-11-26 0731 UN7PGA        599 17     UR7ET         599 16
QSO: 21047 CW 2017-11-26 0731 UN7PGA        599 17     BH6IC         599 24
QSO: 21047 CW 2017-11-26 0733 UN7PGA        599 17     UT7LW         599 16
QSO: 21047 CW 2017-11-26 0733 UN7PGA        599 17     UA6HFI        599 16
QSO: 21047 CW 2017-11-26 0734 UN7PGA        599 17     YO3LW         599 20
QSO: 21047 CW 2017-11-26 0735 UN7PGA        599 17     UY5QQ         599 16
QSO: 21047 CW 2017-11-26 0735 UN7PGA        599 17     UR5R          599 16
QSO: 21047 CW 2017-11-26 0736 UN7PGA        599 17     UT5C          599 16
QSO: 21047 CW 2017-11-26 0737 UN7PGA        599 17     LY4L          599 15
QSO: 21047 CW 2017-11-26 0738 UN7PGA        599 17     UW7W          599 16
QSO: 21018 CW 2017-11-26 0742 UN7PGA        599 17     RX7K          599 16
QSO: 21013 CW 2017-11-26 0744 UN7PGA        599 17     LZ9W          599 20
QSO: 21010 CW 2017-11-26 0745 UN7PGA        599 17     R4RR          599 16
QSO: 21047 CW 2017-11-26 0750 UN7PGA        599 17     LZ7Y          599 20
QSO: 21047 CW 2017-11-26 0751 UN7PGA        599 17     3Z1K          599 15
QSO: 21047 CW 2017-11-26 0753 UN7PGA        599 17     DU7DRU        599 27
QSO: 21047 CW 2017-11-26 0755 UN7PGA        599 17     LZ5R          599 20
QSO: 21047 CW 2017-11-26 0755 UN7PGA        599 17     YO3APJ        599 20
QSO: 21047 CW 2017-11-26 0757 UN7PGA        599 17     RA7RA         599 16
QSO: 21047 CW 2017-11-26 0757 UN7PGA        599 17     UT6EE         599 16
QSO: 14039 CW 2017-11-26 0800 UN7PGA        599 17     OL3Z          599 15
