START-OF-LOG: 3.0
CALLSIGN: SM7ZDI
CONTEST: CQ-WW-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 80M
CATEGORY-POWER: LOW
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE:
NAME: Vic Pleshkevich
LOCATION: DX
OPERATORS: SM7ZDI
CLUB:
CERTIFICATE: YES
CREATED-BY: WINLOG32 v7.3.11
SOAPBOX: Casual entry as time permitted - mostly running with some S&P
QSO:  3500 CW 2017-11-26 0641 SM7ZDI        599 14     SN5G          599 15     0
QSO:  3500 CW 2017-11-26 0642 SM7ZDI        599 14     OK1JX         599 15     0
QSO:  3500 CW 2017-11-26 0644 SM7ZDI        599 14     DF2RG         599 14     0
QSO:  3500 CW 2017-11-26 0645 SM7ZDI        599 14     IZ4DYX        599 15     0
QSO:  3500 CW 2017-11-26 0646 SM7ZDI        599 14     LY8O          599 15     0
QSO:  3500 CW 2017-11-26 0646 SM7ZDI        599 14     HA4FB         599 15     0
QSO:  3500 CW 2017-11-26 0646 SM7ZDI        599 14     OZ1HX         599 14     0
QSO:  3500 CW 2017-11-26 0647 SM7ZDI        599 14     SP4AWE        599 15     0
QSO:  3500 CW 2017-11-26 0647 SM7ZDI        599 14     PA0ABM        599 14     0
QSO:  3500 CW 2017-11-26 0648 SM7ZDI        599 14     ED8X          599 33     0
QSO:  3500 CW 2017-11-26 0649 SM7ZDI        599 14     OH1EB         599 15     0
QSO:  3500 CW 2017-11-26 0649 SM7ZDI        599 14     DM8T          599 14     0
QSO:  3500 CW 2017-11-26 0650 SM7ZDI        599 14     NA8V          599 04     0
QSO:  3500 CW 2017-11-26 0650 SM7ZDI        599 14     3Z1K          599 15     0
QSO:  3500 CW 2017-11-26 0650 SM7ZDI        599 14     ES2MA         599 15     0
QSO:  3500 CW 2017-11-26 0651 SM7ZDI        599 14     LA8OM         599 14     0
QSO:  3500 CW 2017-11-26 0652 SM7ZDI        599 14     YT5W          599 15     0
QSO:  3500 CW 2017-11-26 0653 SM7ZDI        599 14     E75M          599 15     0
QSO:  3500 CW 2017-11-26 0653 SM7ZDI        599 14     PA0JED        599 14     0
QSO:  3500 CW 2017-11-26 0654 SM7ZDI        599 14     UW4U          599 16     0
QSO:  3500 CW 2017-11-26 0654 SM7ZDI        599 14     F6DZD         599 14     0
QSO:  3500 CW 2017-11-26 0655 SM7ZDI        599 14     PA5FN         599 14     0
QSO:  3500 CW 2017-11-26 0656 SM7ZDI        599 14     PA2S          599 14     0
QSO:  3500 CW 2017-11-26 0657 SM7ZDI        599 14     IR4M          599 15     0
QSO:  3500 CW 2017-11-26 0657 SM7ZDI        599 14     DL1ROT        599 14     0
QSO:  3500 CW 2017-11-26 0658 SM7ZDI        599 14     DL6RAI        599 14     0
QSO:  3500 CW 2017-11-26 0659 SM7ZDI        599 14     UT3WX         599 16     0
QSO:  3500 CW 2017-11-26 0659 SM7ZDI        599 14     HB9ALO        599 14     0
