START-OF-LOG: 3.0
CONTEST: CQ-WW-RTTY
CALLSIGN: K8AJS
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY:
CLAIMED-SCORE: 94656
NAME: John Bastin
LOCATION: OH
OPERATORS: K8AJS
CLUB: Mad River Radio Club
CREATED-BY: N1MM Logger+ 1.0.7954.0
SOAPBOX: QSL with W5MMW 2019-09-28 1909Z I know the zone is incorrect, but
SOAPBOX: that is what he sent, so that is what I logged.
QSO: 14104 RY 2019-09-28 1606 K8AJS         599 04 OH  AB5XM         599 04 TX
QSO: 14104 RY 2019-09-28 1607 K8AJS         599 04 OH  IQ5ZP         599 15 DX
QSO: 14104 RY 2019-09-28 1610 K8AJS         599 04 OH  PA0M          599 14 DX
QSO: 14103 RY 2019-09-28 1613 K8AJS         599 04 OH  I4JED         599 15 DX
QSO: 14102 RY 2019-09-28 1613 K8AJS         599 04 OH  IT9BLB        599 15 DX
QSO: 14102 RY 2019-09-28 1614 K8AJS         599 04 OH  C37NL         599 14 DX
QSO: 14101 RY 2019-09-28 1615 K8AJS         599 04 OH  OK7O          599 15 DX
QSO: 14099 RY 2019-09-28 1617 K8AJS         599 04 OH  F4GWY         599 14 DX
QSO: 14099 RY 2019-09-28 1618 K8AJS         599 04 OH  IQ4FA         599 15 DX
QSO: 14099 RY 2019-09-28 1620 K8AJS         599 04 OH  NG7M          599 03 UT
QSO: 14098 RY 2019-09-28 1621 K8AJS         599 04 OH  EI7M          599 14 DX
QSO: 14096 RY 2019-09-28 1624 K8AJS         599 04 OH  WM5DX         599 04 MS
QSO: 14095 RY 2019-09-28 1626 K8AJS         599 04 OH  W6SX          599 03 CA
QSO: 14095 RY 2019-09-28 1628 K8AJS         599 04 OH  S53TM         599 15 DX
QSO: 14094 RY 2019-09-28 1630 K8AJS         599 04 OH  F5QE          599 14 DX
QSO: 14090 RY 2019-09-28 1636 K8AJS         599 04 OH  W7WW          599 03 AZ
QSO: 14089 RY 2019-09-28 1637 K8AJS         599 04 OH  G4RS          599 14 DX
