START-OF-LOG: 3.0
CALLSIGN: KX7L
CONTEST: CQ-WPX-RTTY
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: ASSISTED
CATEGORY-BAND: ALL
CATEGORY-POWER: HIGH
CATEGORY-MODE: RTTY
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE: 60792
NAME: Charlie Panek
LOCATION: WWA
OPERATORS: KX7L
CLUB: Western Washington DX Club
CERTIFICATE: NO
CREATED-BY: N1MM Logger+ 1.0.7047.0
SOAPBOX: It was the first really sunny weekend in a long time here in the
SOAPBOX: PNW, so it was  hard getting BIC time in on the contest.  Friday
SOAPBOX: night condx seemed so-so, but Saturday night was much better.
SOAPBOX: Sunday things were hopping on 20m!  Thanks for the QSO's!
QSO: 14122 RY 2018-02-11 2207 KX7L          599 0226   N4DXS         599 0331
QSO: 14125 RY 2018-02-11 2209 KX7L          599 0227   N7NM          599 0976
QSO: 14126 RY 2018-02-11 2211 KX7L          599 0228   K6LRN         599 0681
QSO: 14127 RY 2018-02-11 2211 KX7L          599 0229   KI6DY         599 0678
QSO: 14128 RY 2018-02-11 2212 KX7L          599 0230   JR8AMF        599 0335
QSO: 14128 RY 2018-02-11 2213 KX7L          599 0231   KS1J          599 0559
QSO: 14132 RY 2018-02-11 2215 KX7L          599 0232   K9YC          599 0602
QSO: 14133 RY 2018-02-11 2216 KX7L          599 0233   WA8ZBT        599 0382
QSO: 14135 RY 2018-02-11 2217 KX7L          599 0234   N6GP          599 0247
QSO: 14121 RY 2018-02-11 2220 KX7L          599 0235   KL7IWC        599 0722
QSO: 14119 RY 2018-02-11 2221 KX7L          599 0236   NT5V          599 0659
QSO: 14116 RY 2018-02-11 2224 KX7L          599 0237   AA5B          599 0752
QSO: 14115 RY 2018-02-11 2224 KX7L          599 0238   JN1THL        599 0565
QSO: 14115 RY 2018-02-11 2225 KX7L          599 0239   PY2NY         599 0490
QSO: 14112 RY 2018-02-11 2227 KX7L          599 0240   NN6XX         599 0570
QSO: 14110 RY 2018-02-11 2228 KX7L          599 0241   PZ5RA         599 1036
QSO: 14098 RY 2018-02-11 2232 KX7L          599 0242   K5DU          599 1773
QSO: 14098 RY 2018-02-11 2235 KX7L          599 0243   JA7IC         599 0684
END-OF-LOG:
