START-OF-LOG: 3.0
CALLSIGN: ZS6DX
CONTEST: CQ-WPX-CW
CATEGORY-OPERATOR: SINGLE-OP
CATEGORY-ASSISTED: NON-ASSISTED
CATEGORY-BAND: 15M
CATEGORY-POWER: QRP
CATEGORY-MODE: CW
CATEGORY-TRANSMITTER: ONE
CATEGORY-OVERLAY: TB-WIRES
CLAIMED-SCORE:
CLUB:
LOCATION: DX
CREATED-BY: CQWPX Adif2Cabrillo Converter (LZ2FQ)
NAME: Rudi Venter
OPERATORS: ZS6DX
SOAPBOX: Always great to meet all the great contesters on the air.
QSO: 21034 CW 2015-05-31 0600  ZS6DX         599 208    OM2VL         599 2080   0
QSO: 21050 CW 2015-05-31 0604  ZS6DX         599 209    DJ90IARU      599 534    0
QSO: 21068 CW 2015-05-31 0606  ZS6DX         599 210    DK3WW         599 748    0
QSO: 21018 CW 2015-05-31 0609  ZS6DX         599 211    OE3K          599 2510   0
QSO: 21005 CW 2015-05-31 0618  ZS6DX         599 212    UT7E          599 969    0
QSO: 21005 CW 2015-05-31 0620  ZS6DX         599 213    PI4DX         599 1309   0
QSO: 21014 CW 2015-05-31 0623  ZS6DX         599 214    UN4PG         599 860    0
QSO: 21018 CW 2015-05-31 0625  ZS6DX         599 215    US0HZ         599 326    0
QSO: 21025 CW 2015-05-31 0627  ZS6DX         599 216    WH6R          599 1062   0
QSO: 21028 CW 2015-05-31 0630  ZS6DX         599 217    DL0TUM        599 1460   0
QSO: 21037 CW 2015-05-31 0634  ZS6DX         599 218    RU4SO         599 026    0
QSO: 21024 CW 2015-05-31 0646  ZS6DX         599 219    IT9LKX        599 400    0
QSO: 21045 CW 2015-05-31 0726  ZS6DX         599 220    DL5YM         599 1307   0
QSO: 21033 CW 2015-05-31 0732  ZS6DX         599 221    EN0U          599 1733   0
QSO: 21037 CW 2015-05-31 0735  ZS6DX         599 222    RX6AM         599 318    0
QSO: 21043 CW 2015-05-31 0736  ZS6DX         599 223    EF8U          599 2536   0
QSO: 21002 CW 2015-05-31 0851  ZS6DX         599 224    YL5X          599 608    0
QSO: 21015 CW 2015-05-31 0854  ZS6DX         599 225    IK0YVV        599 1171   0
QSO: 21026 CW 2015-05-31 0855  ZS6DX         599 226    RA9R          599 1206   0
QSO: 21046 CW 2015-05-31 0858  ZS6DX         599 227    IO2X          599 1968   0
QSO: 21079 CW 2015-05-31 0900  ZS6DX         599 228    OM7RU         599 1467   0
QSO: 21004 CW 2015-05-31 0902  ZS6DX         599 229    C4Z           599 1437   0
QSO: 21005 CW 2015-05-31 0903  ZS6DX         599 230    UC7A          599 1712   0
QSO: 21018 CW 2015-05-31 0907  ZS6DX         599 231    UP0L          599 2837   0
QSO: 21025 CW 2015-05-31 0909  ZS6DX         599 232    YT9A          599 1428   0
QSO: 21064 CW 2015-05-31 0913  ZS6DX         599 233    HA6PX         599 049    0
QSO: 21069 CW 2015-05-31 0915  ZS6DX         599 234    EU6AF         599 1249   0
QSO: 21006 CW 2015-05-31 0917  ZS6DX         599 235    RM9RZ         599 896    0
QSO: 21014 CW 2015-05-31 0919  ZS6DX         599 236    UW1M          599 2474   0
QSO: 21036 CW 2015-05-31 0925  ZS6DX         599 237    OK2RN         599 117    0
QSO: 21018 CW 2015-05-31 0938  ZS6DX         599 238    YL5T          599 1706   0
QSO: 21064 CW 2015-05-31 0946  ZS6DX         599 239    DR7B          599 303    0
QSO: 21066 CW 2015-05-31 0946  ZS6DX         599 240    ZR9C          599 667    0
QSO: 21016 CW 2015-05-31 0949  ZS6DX         599 241    RN1ON         599 253    0
QSO: 21042 CW 2015-05-31 0954  ZS6DX         599 242    DK65DARC      599 540    0
QSO: 21055 CW 2015-05-31 0959  ZS6DX         599 243    RK9AX         599 181    0
QSO: 21005 CW 2015-05-31 1113  ZS6DX         599 244    KM3T          599 2672   0
QSO: 21022 CW 2015-05-31 1116  ZS6DX         599 245    KP2M          599 3855   0
QSO: 21059 CW 2015-05-31 1121  ZS6DX         599 246    TM0R          599 1379   0
QSO: 21047 CW 2015-05-31 1128  ZS6DX         599 247    HB9DHG        599 1013   0
QSO: 21065 CW 2015-05-31 1133  ZS6DX         599 248    JA1ZGP        599 358    0
QSO: 21079 CW 2015-05-31 1137  ZS6DX         599 249    HS0ZIA        599 1632   0
QSO: 21035 CW 2015-05-31 1140  ZS6DX         599 250    JA7NVF        599 999    0
QSO: 21043 CW 2015-05-31 1144  ZS6DX         599 251    PX2A          599 1606   0
QSO: 21012 CW 2015-05-31 1147  ZS6DX         599 252    LN8W          599 2702   0
QSO: 21024 CW 2015-05-31 1149  ZS6DX         599 253    VE3YAA        599 651    0
QSO: 21046 CW 2015-05-31 1151  ZS6DX         599 254    DK6WL         599 340    0
QSO: 21066 CW 2015-05-31 1153  ZS6DX         599 255    AA4V          599 198    0
QSO: 21002 CW 2015-05-31 1154  ZS6DX         599 256    N3RR          599 2116   0
QSO: 21003 CW 2015-05-31 1156  ZS6DX         599 257    KC3R          599 2906   0
QSO: 21004 CW 2015-05-31 1158  ZS6DX         599 258    VY2TT         599 2905   0
QSO: 21018 CW 2015-05-31 1203  ZS6DX         599 259    W2YC          599 1007   0
QSO: 21019 CW 2015-05-31 1203  ZS6DX         599 260    TM5Y          599 2818   0
QSO: 21006 CW 2015-05-31 1208  ZS6DX         599 261    UI5F          599 949    0
QSO: 21089 CW 2015-05-31 1218  ZS6DX         599 262    PY1NX         599 1506   0
QSO: 21053 CW 2015-05-31 1222  ZS6DX         599 263    G9W           599 2540   0
QSO: 21055 CW 2015-05-31 1224  ZS6DX         599 264    PA7LV         599 564    0
QSO: 21016 CW 2015-05-31 1315  ZS6DX         599 265    LY2NK         599 731    0
QSO: 21020 CW 2015-05-31 1317  ZS6DX         599 266    OM3ED         599 150    0
QSO: 21031 CW 2015-05-31 1319  ZS6DX         599 267    K1ZR          599 256    0
QSO: 21060 CW 2015-05-31 1324  ZS6DX         599 268    OK1DZR        599 523    0
QSO: 21061 CW 2015-05-31 1331  ZS6DX         599 269    EA6URA        599 1754   0
QSO: 21068 CW 2015-05-31 1331  ZS6DX         599 270    YO5BRZ        599 238    0
QSO: 21014 CW 2015-05-31 1334  ZS6DX         599 271    RG3AR         599 077    0
QSO: 21029 CW 2015-05-31 1336  ZS6DX         599 272    N3QE          599 1413   0
QSO: 21037 CW 2015-05-31 1338  ZS6DX         599 273    OK7Z          599 1808   0
QSO: 21006 CW 2015-05-31 1344  ZS6DX         599 274    IZ2GRG        599 367    0
QSO: 21046 CW 2015-05-31 1351  ZS6DX         599 275    EA4TX         599 352    0
QSO: 21010 CW 2015-05-31 1358  ZS6DX         599 276    N3RS          599 865    0
QSO: 21013 CW 2015-05-31 1402  ZS6DX         599 277    DS4EOI/4      599 1635   0
QSO: 21014 CW 2015-05-31 1404  ZS6DX         599 278    A71EM         599 1302   0
QSO: 21002 CW 2015-05-31 1406  ZS6DX         599 279    W0EWD         599 199    0
